host_wall_timestamp_ns,host_monotonic_ns,host_receive_index,sample_index,session_sample_index,generation,connection_generation,device_packet_sequence,device_sample_counter,device_time_ticks,sample_in_packet,action_label,action_phase,sample_rate_hz,device_id,session_id,quality_flags,sample_rate_source_kind,sample_rate_evidence_ref,sample_rate_confirmed,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8
1700000000000000000,10000000000,1,0,0,0,0,,,,0,rest,hold,200.0,dev-0123456789abcdef0123456789abcdef,synthetic-2-rest,29,protocol,synthetic-demo-contract-v1,True,0.018298478891379533,0.053755940863664024,0.08921340283594852,0.124670864808233,0.1601283267805175,0.195585788752802,0.23104325072508647,0.26650071269737097
1700000000005000000,10005000000,2,1,1,0,0,,,,0,rest,hold,200.0,dev-0123456789abcdef0123456789abcdef,synthetic-2-rest,29,protocol,synthetic-demo-contract-v1,True,0.03144720084284919,0.06702081796740199,0.10263348400727243,0.13827357897726433,0.17393367113450792,0.2096087881500455,0.24529547846007954,0.2809912716486895
1700000000010000000,10010000000,3,2,2,0,0,,,,0,rest,hold,200.0,dev-0123456789abcdef0123456789abcdef,synthetic-2-rest,29,protocol,synthetic-demo-contract-v1,True,0.04433720574458992,0.08003078624649725,0.11579869351909744,0.15161937882307105,0.18747883577808308,0.223367585703223,0.25927899364158863,0.29520828053537984
1700000000015000000,10015000000,4,3,3,0,0,,,,0,rest,hold,200.0,dev-0123456789abcdef0123456789abcdef,synthetic-2-rest,29,protocol,synthetic-demo-contract-v1,True,0.05685229582403051,0.09267671699681296,0.1286033531057665,0.16460402263627089,0.200659824076866,0.2367576890259077,0.2728883281668386,0.3090449736335994
1700000000020000000,10020000000,5,4,4,0,0,,,,0,rest,hold,200.0,dev-0123456789abcdef0123456789abcdef,synthetic-2-rest,29,protocol,synthetic-demo-contract-v1,True,0.0688800365502251,0.10485274216309472,0.14094484277275218,0.17712625492097106,0.21337561543698577,0.24967760318667792,0.28602104991167754,0.32239766946077036
1700000000025000000,10025000000,6,5,5,0,0,,,,0,rest,hold,200.0,dev-0123456789abcdef0123456789abcdef,synthetic-2-rest,29,protocol,synthetic-demo-contract-v1,True,0.08031300721207847,0.11645725667570522,0.15272449351002662,0.18908865074435732,0.2255289907438582,0.2620296524059412,0.29857858895676337,0.3351666062636981
1700000000030000000,10030000000,7,6,6,0,0,,,,0,rest,hold,200.0,dev-0123456789abcdef0123456789abcdef,synthetic-2-rest,29,protocol,synthetic-demo-contract-v1,True,0.09104998923293804,0.1273938790712408,0.16384844539124163,0.20039842798403137,0.23702732645120408,0.2737207704151966,0.3104670321521246,0.34725674535815865
1700000000035000000,10035000000,8,7,7,0,0,,,,0,rest,hold,200.0,dev-0123456789abcdef0123456789abcdef,synthetic-2-rest,29,protocol,synthetic-demo-contract-v1,True,0.10099707611771672,0.13757236044873897,0.174228463344587,0.21096822061223752,0.24778335077208447,0.2846632530122122,0.32159787952919666,0.35857853575286647
1700000000040000000,10040000000,9,8,8,0,0,,,,0,rest,hold,200.0,dev-0123456789abcdef0123456789abcdef,synthetic-2-rest,29,protocol,synthetic-demo-contract-v1,True,0.11006869012995385,0.14690943237363513,0.18378270326357637,0.22071680648457853,0.25771585573666034,0.29477546665630777,0.3318887563829903,0.3690486338092259
1700000000045000000,10045000000,10,9,9,0,0,,,,0,rest,hold,200.0,dev-0123456789abcdef0123456789abcdef,synthetic-2-rest,29,protocol,synthetic-demo-contract-v1,True,0.11818849223757122,0.1553295850090929,0.19243642157637858,0.22956978348477203,0.2667503592457956,0.3039825073091258,0.3412640752112668,0.3785905720580783
